,Class,Handicapped_Infants,Water_Project_Cost_Sharing,Adoption_Budget_Resolution,Physician_Fee_Freeze,El_Salvador_Aid,Religious_Groups_School,Anti_Satellite_Test_Ban,Aid_Nicaraguan_Contras,MX_Missile,Immigration,Synfuels_Corporation_Cutback,Education_Spending,Superfund_Right_To_Sue,Crime,Duty_Free_Exports,Export_Administration_Act_South_Africa,prediction
348,democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,?,democrat
201,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
122,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
407,democrat,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,republican
256,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,republican
413,republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y,republican
285,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,democrat
164,democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,?,republican
283,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
4,democrat,y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y,democrat
233,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
368,democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,democrat
224,republican,n,y,n,y,y,y,n,n,n,y,n,?,y,y,n,n,republican
185,democrat,y,n,y,n,n,n,y,y,y,y,n,?,n,n,y,y,democrat
173,democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y,republican
229,republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,republican
47,democrat,y,n,y,n,n,n,y,y,?,n,n,n,n,n,n,?,democrat
295,republican,n,y,n,y,y,y,?,?,n,y,n,y,?,?,?,?,republican
214,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
286,democrat,n,n,y,n,n,y,?,y,?,y,y,y,n,y,y,?,democrat
309,democrat,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y,democrat
5,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,democrat
192,democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
422,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y,democrat
354,democrat,n,y,y,n,n,y,y,y,y,y,n,?,n,n,y,y,democrat
273,republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,republican
17,democrat,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
332,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?,democrat
172,democrat,n,y,y,n,n,n,y,y,y,y,n,n,?,n,y,y,democrat
128,democrat,n,?,y,n,n,y,n,y,n,y,y,n,n,n,y,y,democrat
322,democrat,y,y,y,n,?,y,n,?,n,n,y,n,y,y,n,?,democrat
327,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
307,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,?,democrat
161,democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,republican
244,democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y,democrat
180,democrat,?,?,y,n,n,n,y,y,y,?,?,n,n,n,?,?,democrat
62,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,?,democrat
369,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,republican
29,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
171,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
293,democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,democrat
415,democrat,n,y,y,n,n,y,y,y,?,y,n,n,n,n,n,y,democrat
424,democrat,n,y,y,n,n,?,y,y,y,y,y,n,?,y,y,y,democrat
247,republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,republican
67,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
249,democrat,y,n,y,n,n,n,y,y,?,n,y,n,n,n,y,y,democrat
417,democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y,democrat
208,democrat,n,n,y,n,n,n,y,y,y,n,n,?,n,n,y,y,democrat
119,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
338,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,democrat
260,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
65,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,?,democrat
78,democrat,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,democrat
386,democrat,n,?,y,n,y,y,n,y,n,n,y,n,n,n,n,?,democrat
242,republican,n,n,n,n,y,y,y,n,n,n,n,?,n,y,y,y,republican
213,democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,democrat
414,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
221,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,?,democrat
206,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
421,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y,democrat
366,democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,?,democrat
162,democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y,republican
284,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,?,y,democrat
6,democrat,n,y,n,y,y,y,n,n,n,n,n,n,?,y,y,y,republican
343,republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y,republican
101,democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,democrat
359,republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,y,republican
246,democrat,n,n,y,n,y,n,y,y,y,n,n,n,n,y,?,y,democrat
228,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y,republican
168,democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,?,republican
380,democrat,y,y,y,n,n,y,?,y,y,n,y,n,y,n,y,y,democrat
331,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
58,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
408,democrat,y,n,y,n,n,y,y,y,y,n,n,y,?,y,y,y,democrat
290,democrat,y,n,y,n,?,y,?,y,y,y,n,n,y,y,n,y,democrat
310,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,republican
207,republican,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y,republican
146,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
18,republican,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,republican
40,democrat,y,y,y,n,n,n,y,y,y,n,?,n,n,n,n,?,democrat
90,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
277,republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y,republican
117,republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,republican
364,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,republican
251,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
431,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
139,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
80,democrat,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,?,democrat
46,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
218,democrat,y,?,y,n,n,n,y,y,y,n,?,n,n,n,y,?,democrat
85,democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y,republican
334,democrat,n,y,y,n,n,y,y,y,?,n,y,y,n,n,y,y,democrat
81,democrat,y,n,y,n,n,n,y,y,?,y,y,y,n,y,n,y,democrat
107,republican,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,democrat
261,democrat,y,n,y,n,n,?,y,y,y,n,?,?,n,?,?,?,democrat
389,democrat,y,n,y,n,n,n,y,y,y,?,y,n,n,n,y,?,democrat
394,democrat,y,y,?,?,?,y,n,n,n,n,y,n,y,n,n,y,democrat
132,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?,republican
179,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
292,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y,democrat
11,republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,republican
271,democrat,n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y,democrat
204,republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
93,democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,democrat
165,democrat,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,?,democrat
320,democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y,democrat
41,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
267,republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y,democrat
159,democrat,n,y,y,n,?,y,y,y,y,y,y,n,n,?,n,?,democrat
95,democrat,y,n,y,n,y,y,n,?,?,n,y,?,?,?,y,y,democrat
106,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
92,democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,?,y,y,democrat
66,republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y,republican
365,democrat,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n,republican
23,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
323,democrat,y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?,democrat
13,democrat,y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?,democrat
362,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y,democrat
61,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
186,democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
174,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
258,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
102,democrat,y,n,y,n,y,y,y,n,?,n,y,n,y,y,y,?,democrat
39,democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,democrat
306,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
372,democrat,n,y,y,y,y,y,n,n,n,n,y,y,?,y,n,n,republican
432,republican,n,?,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
383,democrat,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,democrat
98,democrat,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,democrat
197,republican,n,?,y,y,y,y,n,n,n,y,n,n,n,y,n,y,republican
303,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
324,republican,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n,republican
347,republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
314,republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y,republican
127,democrat,n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat
82,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
397,democrat,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y,republican
311,democrat,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,democrat
27,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
89,republican,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?,republican
426,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
73,republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y,republican
69,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
298,democrat,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
91,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
345,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y,republican
328,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,democrat
326,democrat,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y,democrat
125,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
59,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,republican
120,republican,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y,republican
12,democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?,democrat
339,republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,republican
191,republican,n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?,republican
434,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,?,n,republican
275,democrat,n,n,y,n,y,y,n,n,n,n,?,n,y,y,n,n,republican
157,democrat,n,y,y,n,n,y,n,y,y,n,y,n,?,?,?,?,democrat
291,democrat,y,n,y,n,n,y,y,y,y,y,n,?,n,y,n,y,democrat
223,republican,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y,republican
187,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
351,republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y,republican
189,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
387,democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,?,democrat
375,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n,republican
88,democrat,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y,democrat
131,democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y,democrat
124,democrat,n,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
270,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
14,republican,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?,republican
342,democrat,n,y,y,n,y,?,y,n,n,y,y,n,y,n,y,y,democrat
300,republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,republican
123,republican,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y,republican
138,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y,democrat
111,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
51,republican,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y,republican
112,democrat,n,?,y,n,n,y,y,y,n,y,n,n,n,n,y,?,democrat
9,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?,democrat
227,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,?,y,democrat
16,democrat,y,n,y,n,n,y,n,y,?,y,y,y,?,n,n,y,democrat
225,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
0,republican,n,y,n,y,y,y,n,n,n,y,?,y,y,y,n,y,republican
340,republican,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,republican
105,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y,democrat
232,democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?,democrat
419,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
257,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,?,y,republican
370,democrat,y,y,y,n,?,y,y,y,n,y,?,?,n,n,y,y,democrat
70,democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?,democrat
350,democrat,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y,democrat
38,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
150,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
430,republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y,republican
163,republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
167,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y,democrat
272,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,?,democrat
304,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,republican
238,democrat,y,y,y,n,n,n,y,y,?,y,n,n,n,n,y,?,democrat
409,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
145,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,?,y,democrat
230,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
299,democrat,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y,democrat
312,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
42,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
160,democrat,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y,republican
349,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y,republican
403,republican,n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n,republican
378,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
401,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
427,republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,republican
250,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
360,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,democrat
379,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
236,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
433,republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y,republican
363,republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n,republican
147,democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y,democrat
245,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
100,democrat,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y,republican
34,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
188,republican,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?,republican
110,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
175,democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
53,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
135,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
405,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
154,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
19,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
142,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,republican
268,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
158,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
296,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y,republican
44,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,?,democrat
294,democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?,democrat
113,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
274,republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,republican
211,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
108,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
373,democrat,n,y,y,?,y,y,n,y,n,y,?,n,y,y,?,y,republican
169,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y,democrat
79,republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,republican
410,republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
418,democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,democrat
84,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
8,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
32,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
99,republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,n,republican
377,republican,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?,republican
355,republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,democrat
346,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
222,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?,democrat
28,republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,republican
31,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?,democrat
318,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
55,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
412,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
337,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
48,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y,democrat
416,republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,republican
305,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
33,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
